University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems? ,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,target
2018,Male,24,2016,BCSE,12,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Software  Development skill,2,Data Schince,Single,Yes,Bachelor,No,,No,,,25000,
2021,Male,22,2020,BCSE,4,Yes,Yes,3,2,Online,Yes,Yes,2-3,Basic,96,Yes,No,No,"Play football, cricket, singing",2,Event management ,Single,Yes,Family,No,,No,,,100000bdt,
2020,Female,21,2019,BCSE,5,No,No,3,3,Offline,Yes,Yes,3,Intermediate,80%,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,,No,,,50000BDT,
2021,Male,20,2020,BCSE,4th,Yes,No,1,3-4,Offline,Yes,Yes,2,Intermediate,I try to join all the time but some of the time i was sick thats why my attendance record is now bad,No,No,Yes,"Programming, Cyber security, Networking",1,Artificial Intelligence,Single,No,Bachelor,Yes,,No,,,Actually my family didn’t tell me,
2021,Male,22,2019,BCSE,4th-summer 22,Yes,No,3/4 hours,1,Online,Yes,Yes,2hours,Intermediate,80%,No,No,Yes,Programming,1hour,Software,In a relationship,No,Bachelor,Yes,,No,,,50000,
2021,Male,20,2020,BCSE,4th,Yes,Yes,2/3 hours,2 Times,Offline,Yes,Yes,1 hour and 2/3 hours in holiday ,Intermediate,95℅,No,No,Yes,"Programming, Web development skill(Frontend)",2 hours,Software,Single,Yes,Family,No,,No,,,30000,
2021,Male,22,2018,BCSE,4,Yes,No,2,4,Online,Yes,Yes,2,Intermediate,80,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",6,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,,Bachelor,Yes,,No,,,20000,
2021,Female,22,2019,BCSE,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100%,Yes,No,Yes,Web development skill(Frontend),1,NETWORKING,Single,No,Bachelor,No,3.8,No,3.64,35,32500 BDT,
2021,Male,20,2020,BCSE,4th,Yes,No,3-4,2 times ,Offline,Yes,Yes,2 hour,Intermediate,90%,No,No,No,Programming,3 hour,"Software, Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,No,Bachelor,No,,No,,,20000,
2021,Female,22,Diploma degree ,BCSE,4,Yes,Yes,5,2,Offline,Yes,Yes,2,Intermediate,100%,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,,No,,,25000,
