Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
1,2.0,0,2.0,1,71,1,3,3.8,3.64,2
0,3.5,0,2.0,1,55,0,3,3.4,3.53,2
1,3.0,0,2.0,2,62,0,3,3.81,3.65,2
1,2.5,1,4.0,2,38,1,3,3.55,3.48,1
1,2.0,1,2.0,2,61,0,3,3.28,3.32,2
0,2.5,0,3.0,1,67,0,3,3.78,3.88,2
1,2.5,0,2.0,2,61,0,3,4.0,4.0,2
1,3.5,0,2.0,2,71,0,3,3.9,3.9,3
1,3.0,0,5.0,2,61,0,3,3.84,3.8,1
1,2.0,0,4.0,2,34,0,3,3.31,3.52,0
0,4.0,1,2.0,2,71,0,3,3.07,2.74,0
0,3.0,0,3.551912339475154,2,66,0,3,2.7,2.8,1
1,6.0,0,3.0,2,71,0,3,3.84,3.1,1
1,4.0,0,2.0,2,55,0,3,3.38,3.82,3
1,7.0,0,3.0,0,55,0,3,3.7,3.77,3
0,3.290201005025126,0,3.5,2,61,0,2,2.7,2.91,1
0,3.0,0,2.0,2,67,0,3,3.52,2.9,1
1,4.0,0,3.5,2,71,0,3,3.48,3.08,1
0,5.0,0,3.0,2,55,0,3,3.29,3.23,2
0,3.0,0,5.0,1,44,1,2,2.0,2.22,0
0,5.5,0,3.5,2,44,1,3,3.3,3.24,1
0,3.0,0,3.0,1,61,0,3,3.2,3.3,2
1,4.5,0,2.5,2,55,0,3,2.16,2.75,0
0,3.0,0,2.0,2,55,0,1,4.0,3.92,3
1,6.0,0,2.0,1,71,0,3,3.25,3.25,2
1,2.0,0,5.0,2,44,0,3,3.78,3.56,1
0,4.0,1,5.0,0,61,1,3,3.5,3.2,1
1,2.5,0,3.551912339475154,2,55,0,3,3.26,3.26,2
1,2.5,0,2.5,1,34,1,3,3.9,3.8,0
1,2.0,1,5.0,2,61,0,3,3.7,3.68,1
0,3.290201005025126,0,3.551912339475154,2,71,0,3,3.82,3.65,2
1,5.0,0,5.0,0,67,0,3,3.85,3.72,1
0,2.5,0,3.551912339475154,0,61,1,2,3.1,2.84,1
1,5.0,0,2.5,1,71,0,3,3.72,3.72,2
0,2.0,0,2.5,2,55,0,3,3.51,3.56,2
0,6.5,1,2.5,2,68,0,1,3.72,3.42,2
0,7.0,1,2.5,2,44,1,1,2.8,2.8,1
0,5.0,1,4.0,2,71,0,3,3.36,3.59,2
1,3.5,1,4.5,2,48,1,3,2.2,2.2,0
0,6.0,0,6.5,2,66,0,3,3.2,3.22,0
0,5.0,0,2.0,1,71,0,3,3.48,3.48,2
1,2.0,0,6.0,1,71,1,3,4.0,4.0,0
1,4.0,0,6.0,2,55,0,3,3.7,3.5,0
1,5.0,0,2.0,2,61,0,3,3.3,3.3,2
0,4.5,1,2.0,2,48,0,3,3.85,3.1,1
1,2.0,1,3.0,2,55,0,3,4.0,3.78,2
0,3.0,1,5.0,1,44,0,3,2.54,2.54,0
1,6.0,0,3.0,1,55,0,3,3.84,3.77,3
1,2.0,0,2.0,0,61,0,3,3.14,3.14,1
0,4.5,0,4.0,2,61,0,3,3.69,3.23,2
0,2.0,0,3.5,2,49,0,3,3.12,3.08,1
0,3.5,1,3.5,1,55,0,2,2.79,2.84,1
1,5.5,0,2.0,2,61,0,3,3.52,3.65,2
1,4.0,1,5.0,0,34,1,2,3.01,2.89,0
1,3.5,0,2.5,0,55,0,1,3.18,3.18,1
1,5.0,0,5.0,2,71,0,3,3.72,3.89,1
1,2.0,1,3.0,1,55,0,3,3.42,3.56,2
1,3.5,0,3.5,1,49,0,3,2.49,3.03,0
1,3.0,0,2.5,2,55,0,3,3.86,3.67,2
1,6.0,1,2.5,2,55,0,3,3.82,3.7,2
1,2.0,1,2.5,2,38,0,3,3.58,3.1,1
0,5.5,0,2.0,2,66,0,3,2.57,2.8,1
1,5.0,0,2.0,0,61,0,3,3.86,3.92,3
1,4.0,0,2.5,0,34,0,3,2.45,2.95,0
0,2.5,0,3.551912339475154,2,44,1,2,2.4,2.89,0
0,6.0,0,2.5,1,66,0,3,3.1,3.07,1
1,4.5,0,5.5,2,61,0,3,3.28,3.0,0
1,5.0,0,3.0,1,55,0,3,3.6,3.6,2
1,3.5,0,2.5,1,55,0,3,2.68,2.68,0
0,3.5,1,4.5,2,71,0,3,2.98,3.38,1
0,2.5,1,3.5,1,49,0,3,3.03,3.21,2
0,2.0,0,3.0,2,61,0,3,3.1,3.18,1
1,2.0,0,3.5,2,66,0,3,3.7,3.7,2
1,3.0,0,3.5,1,71,0,3,3.61,3.74,2
1,2.0,1,3.551912339475154,2,34,0,3,3.01,3.22,0
0,2.0,0,5.0,1,44,0,3,3.26,3.36,1
0,2.0,0,5.0,1,71,0,3,3.12,3.01,1
1,5.5,1,6.5,0,61,1,3,3.0,3.55,0
0,2.0,0,3.0,2,66,0,3,3.83,3.4,2
1,3.0,1,2.0,0,71,0,3,3.58,3.27,2
1,3.5,0,4.0,1,48,0,3,3.39,3.19,1
1,3.5,0,2.0,2,71,0,3,3.38,3.37,2
0,3.5,0,2.5,2,44,0,3,3.18,2.69,0
0,3.5,0,4.5,2,41,1,3,2.36,2.88,0
1,3.0,1,5.0,2,71,0,3,3.8,3.8,1
0,2.5,1,5.5,2,44,0,1,3.0,2.91,0
0,2.0,0,5.0,1,44,0,3,2.32,2.66,0
1,2.0,0,3.0,2,71,0,3,2.89,3.37,1
1,2.0,0,5.5,1,71,1,3,2.26,2.31,0
1,5.0,0,2.0,1,67,0,3,3.65,3.65,2
1,2.5,0,7.5,2,62,0,3,3.03,3.02,0
1,2.5,0,4.0,1,44,0,3,3.93,3.44,1
0,4.0,0,2.0,0,44,0,3,3.0,3.09,1
1,8.0,0,2.0,1,48,0,3,3.45,3.45,1
0,4.0,0,2.0,2,48,1,3,2.93,2.84,1
1,3.290201005025126,0,3.551912339475154,2,71,0,3,3.92,3.94,2
0,2.0,0,2.0,2,66,0,3,3.17,3.53,2
1,8.0,0,2.0,2,66,0,3,3.98,3.86,3
0,6.0,0,2.0,2,64,1,3,3.39,2.8,1
1,5.0,0,4.0,1,55,1,3,3.83,3.83,2
0,3.0,0,4.0,2,71,0,3,3.64,3.74,2
1,5.0,0,2.5,2,71,0,3,3.8,3.8,3
1,2.5,0,3.551912339475154,2,67,1,3,3.42,3.42,2
1,5.0,0,6.0,2,67,0,0,3.96,3.93,0
0,7.0,0,2.5,2,55,1,3,2.86,3.26,1
0,5.0,0,3.0,2,66,0,3,3.5,3.5,2
0,4.5,0,2.0,2,66,0,3,3.72,3.71,2
1,5.0,1,2.0,2,61,0,1,2.8,3.35,1
1,3.5,0,2.0,2,48,0,3,3.98,3.99,1
0,3.0,0,4.0,2,61,0,3,3.34,3.18,1
1,8.0,0,2.0,1,48,0,3,3.39,3.39,1
0,3.5,0,3.5,2,63,0,3,3.78,3.55,2
0,2.5,0,4.5,1,49,1,3,2.06,2.2,0
1,2.0,0,6.0,1,34,0,3,3.17,3.39,0
0,3.0,0,3.0,2,71,0,3,3.82,3.91,3
0,2.0,0,4.0,1,71,0,3,2.55,2.55,0
1,2.0,1,2.0,2,57,0,3,3.79,3.89,2
0,4.0,0,2.5,2,49,0,3,3.76,3.62,2
1,5.0,0,4.0,1,71,0,3,3.74,3.91,2
1,2.5,0,4.5,2,71,0,3,3.38,3.2,1
0,5.0,0,3.0,2,55,0,3,3.98,3.97,3
1,3.0,0,5.0,2,44,1,3,2.72,2.25,0
1,3.5,0,3.551912339475154,0,66,0,3,3.3,3.39,2
1,4.0,0,2.0,0,71,0,3,4.0,3.72,2
0,2.0,0,3.0,1,55,0,3,3.1,3.1,1
0,4.0,0,2.0,2,38,1,3,3.38,3.38,1
1,3.0,0,3.0,2,71,0,3,3.03,3.03,1
1,5.5,0,4.0,2,67,0,3,3.45,3.295,2
1,3.0,0,2.0,2,67,0,3,3.86,3.69,2
0,3.5,0,4.5,0,71,0,3,3.48,2.4,0
0,6.5,0,2.0,2,71,0,3,3.4,3.29,2
0,4.0,0,2.0,1,55,0,1,3.43,3.43,2
0,4.0,0,4.5,0,49,0,1,3.02,3.2,1
0,2.5,0,3.5,1,55,0,3,3.48,2.98,1
1,3.5,0,2.0,0,55,0,3,3.53,3.53,2
1,4.0,0,2.0,0,55,0,3,3.06,3.41,2
1,4.0,0,2.0,1,66,0,0,3.05,3.05,1
1,3.0,0,2.0,2,55,0,1,3.33,3.33,2
1,3.0,0,4.0,2,55,1,3,2.18,2.08,0
0,3.290201005025126,0,3.5,2,34,0,3,3.7,3.75,0
1,3.0,1,8.0,1,66,0,3,3.55,3.59,0
1,4.0,0,2.0,1,71,0,3,3.58,3.75,3
1,2.0,0,8.0,1,55,0,3,3.88,3.88,0
0,6.5,0,2.5,2,55,1,1,2.96,2.89,1
1,5.0,0,2.0,2,48,0,3,3.77,3.86,1
1,2.0,1,2.5,2,49,0,3,3.56,3.66,2
1,2.0,0,3.5,2,44,0,3,3.7,3.4,1
0,5.0,0,3.551912339475154,2,61,0,3,3.4,3.5,2
0,2.0,0,3.0,2,44,0,3,2.58,2.93,1
1,3.5,0,2.0,2,48,0,3,3.58,3.76,1
1,2.0,1,4.0,2,67,0,1,3.79,3.91,2
0,4.0,0,2.0,2,66,0,3,2.83,2.82,1
1,2.5,0,2.0,1,61,0,3,3.88,3.88,2
0,3.0,0,3.0,2,64,0,3,3.0,3.66,2
0,8.0,1,2.0,2,55,1,3,2.44,2.44,0
1,4.0,0,3.551912339475154,2,55,0,3,3.98,3.98,2
1,3.290201005025126,1,2.0,2,34,0,3,3.81,3.81,0
1,8.0,0,8.0,1,55,0,3,3.33,3.33,0
1,3.0,0,3.0,2,34,0,3,2.68,2.89,0
